Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
1721089839,__NA__,,,,i have no idea,99,,,because they are unsure,98,,
1721137395,__NA__,,,,What they say confirms the data I see.,05,,,Evidence,01,,
1721195185,__NA__,,,,Basically every public health scientist in the world is focused on a single issue.,98,,,Scientific and economic reasons,01,05,
1721206009,__NA__,,,,They can only do the best they can with limited information.,04,,,It was the right thing to do.,01,,
1721137377,__NA__,,,,"Public health scientists are working daily to keep up with tidal waves of information so they can present what seems the most relevant and helpful at the time. As they learn more, they correct or adjust guidance based on evidence (e.g., masking works). It's frustrating and confusing when things changes dramatically, but following the science is how we get out of this.",04,,,I think it should be a 7-day minimum (days 0-6) with two negative RATs on days 5 and 6 or later after the minimum.,98,,
1721299435,__NA__,,,,Too many different statements by CDC.,13,,,"No one knows. Unfortunately, CDC is causing many to doubt that the information presented by the President, Fauci, or others is meaningful.",97,,
1721149407,Tested positive for Covid on Christmas morning. Received monoclonal antibodies in January. Must wait 90 days for booster.,21,10,,"They are the experts. That’s why they were hired, to protect the public. It certainly isn’t the money driven.",02,21,,CDC is learning just like the rest of us. Their job is not to make life harder for us. They have the science to back up their decisions.,01,,
1720947895,__NA__,,,,Follow the money,98,,,Public resistance,08,,
1721521105,__NA__,,,,Not sure,99,,,Not sure,97,,
1721438209,Inconvenient procedure.,07,,,"These are professionals in the medical field, not politicians.",07,,,I suspect it is based on data which I do not have.,01,,
1721683875,__NA__,,,,no comment,99,,,new data collected,01,,
1721471609,__NA__,,,,I am a former medical professional and do believe in the science behind Covid information.,04,,,Maybe new things have come to light since the original recommendations were put out.,01,,
1721384955,__NA__,,,,"These people are doing the research, they know this disease, what choice do we have? we have to trust them",02,03,,Because they know much more about this disease than they did,01,,
1721728945,__NA__,,,,"Because despite inevitable uncertainties, they have devoted their careers to study of public health and disease. Epidemiology. If someone like trump returns to power however, the structure may be destroyed and become worthless.",02,,,Concern over functioning of society,05,,
1721078837,__NA__,,,,They're not following the science,11,,,Pressure from the public,08,,
1721246505,__NA__,,,,Well educated experienced medical professionals working for the common good,02,21,,As time goes on they gather more data which modifies guidance,01,,
1721590445,__NA__,,,,"They tell the truth, are trained and work to protect public health.",01,02,,More knowledge of COVID. It's been 2 years.,01,,
1721137383,__NA__,,,,Public health scientists know what they are talking about! They are the professionals.,02,,,they are afraid of the US economy. This change is dangerous.,05,,
1721328203,__NA__,,,,They use scientific data from proven trusted sources.,04,,,Perception of increased vaccine effectiveness and plateauing cases.,13,08,10
1721108471,__NA__,,,,I believe that they are guided by facts and have kept the public informed during this pandemic despite the toxic lies spewed by politicians and talk show celebrities.,01,05,,"More people have been vaccinated, scientists have been able to evaluate just how long infection can develop in people . New information is constantly emerging and scientists are able to understand the virus much better now than when it first began.",01,10,
1721471605,__NA__,,,,I have a masters degree in science. I understand scientific methods and believe in science.,04,,,"Science backed it up, psychology suggested it would be easier for people to do.",01,,
1720947681,I believe that natural immunity is better. There are too many unknowns about all the covid vaccines.,20,09,,I believe that the scientists are motivated by profit rather than concern. We've heard so many instances of conflicting information.,13,,,Because they now understand they were wrong initially.,01,,
1721498889,__NA__,,,,Studies,04,,,Science,01,,
1721108479,__NA__,,,,It’s accurate and devoid of the false claims that are out there,09,01,,Public pressure.,08,,
1721407271,__NA__,,,,They never tell you everything they just do what the government wants,10,,,Don’t know nothing they do or say makes any sense,04,97,
1721521099,__NA__,,,,they only report what they are told,01,,,I'm not sure,97,,
1721994411,__NA__,,,,They are scientists and know better.,99,,,So that people can go back to work,05,,
1721471613,__NA__,,,,They are trained and paid to tell the truth as they know it.,01,02,,Maybe herd immunity due to so many already vaccinated? Also the Omicron version appears less dangerous.,02,10,
1721078843,__NA__,,,,"I trust science,and the present administration.",04,98,,Bending to political pressure,06,08,
1721438203,__NA__,,,,Because I believe scientists are in their job to help people figure out how illness can be safely treated and to save lives. As we all know science is not a perfect thing and mistakes can be made. I believe they are doing the best to their knowledge that they can do.,21,01,03,Because they have been going over the data and it shows there is no longer a need for such a long isolation period. Scienctists are learning more and more every day about how covid affects people and how vaccinations are helping to keep the people alive and from getting as sick and needing the hospital. This is awesome and amazing gains for everyoone in the world. If people only looked at it with the view of every season we need to get flu shots to prevent us from getting the flu so why is it such a big deal to the same to prevent from getting covid? Its simple very simple if people would stop making it about other things and just do the right thing and get vaccinated.,01,10,11
1722066935,it' not 6 months yet untill 2/28,21,,,too politiical,10,,,no idea,97,,
1721623769,__NA__,,,,no,99,,,don't know,97,,
1721994417,__NA__,,,,"They are basing their reports on science. At times, they have had to revise, but that shows they're following science.",04,01,,To help. the country run more easily,98,,
1722099011,__NA__,,,,Some people have other agendas,20,,,People need to work,05,,
1722115355,__NA__,,,,They all seem to have a political agenda and their measures have been proven not to be effective but they still push them on the Public.,20,16,19,Because true experts in the field are reporting that quarantines are not effective and actually cause more harm than good and the CDC is trying to slowly get out of the corner they have painted themselves into.,04,,
1721207737,__NA__,,,,I trust scientists. They know more that the general public.,03,02,,so as not to have a large effect on the workforce especially health workers. Back to work quicker.,05,09,
1721328195,__NA__,,,,trust science,04,,,experience,99,,
1722122907,__NA__,,,,They have the scientific evidence to back what they say,04,,,Because it is less risky because you are isolated from others and the virus is contained,98,,
1722100567,__NA__,,,,"Their job is to identify health issues, and to find a way to lessen risk to others in the community. It is their job!",02,21,,"They have researched the data and have studied the virus longer, and have a better understanding of the transmission caracteristics.",01,,
1721137385,too many people get sick when they get the booster and I don't think is has that much protection against Covid.,06,15,,way to much publicity from the feds and state politicians. They make statements and then change them as time goes on,13,98,,employers were losing their employees and the economy was slowing down costing a lot of money being lost in the private sector such as taxes and materials becoming a shortage.,05,,
