,Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
3,0,__NA__,0.0,0.0,0.0,They can only do the best they can with limited information.,4,0.0,0.0,It was the right thing to do.,1,0.0,0.0
409,1719381813,__NA__,0.0,0.0,0.0,I worked for R.I. Dept. of Health for 10 years then 6+ years for Pequot Health Care.,98,0.0,0.0,Industries complained longly and loudly to public officials about business impact.,5,0.0,0.0
465,1719422187,__NA__,0.0,0.0,0.0,They are staying up with the changing environment as best as they can,4,0.0,0.0,Try and find common ground for people and businesses,5,0.0,0.0
47,1720086091,__NA__,0.0,0.0,0.0,Flip flop Fauci,99,0.0,0.0,Citizens are getting angry,8,0.0,0.0
81,1720421313,__NA__,0.0,0.0,0.0,I onky believe they are getting thier main information from one source Dr.Fauci and I think they are limited on telling the public all aspects of information.,10,11.0,0.0,I think they changed so more people could get back to work and the economy doesn't get shut down again with mass unemployment.,5,0.0,0.0
21,1720947681,I believe that natural immunity is better. There are too many unknowns about all the covid vaccines.,20.0,9.0,0.0,I believe that the scientists are motivated by profit rather than concern. We've heard so many instances of conflicting information.,13,0.0,0.0,Because they now understand they were wrong initially.,1,0.0,0.0
7,1720947895,__NA__,0.0,0.0,0.0,Follow the money,98,0.0,0.0,Public resistance,8,0.0,0.0
67,1720969377,there is a lot of misinformation about it and Dr. Fauci is not telling the truth about the pandemic,19.0,0.0,0.0,They are not consistent with their opinions,13,14.0,0.0,"Because they don't even know the meaning of what is right and what is wrong, as Dr. Fauci is most of the time Flipflopping",4,0.0,0.0
14,1721078837,__NA__,0.0,0.0,0.0,They're not following the science,11,0.0,0.0,Pressure from the public,8,0.0,0.0
28,1721078843,__NA__,0.0,0.0,0.0,"I trust science,and the present administration.",4,98.0,0.0,Bending to political pressure,6,8.0,0.0
0,1721089839,__NA__,0.0,0.0,0.0,i have no idea,99,0.0,0.0,because they are unsure,98,0.0,0.0
19,1721108471,__NA__,0.0,0.0,0.0,I believe that they are guided by facts and have kept the public informed during this pandemic despite the toxic lies spewed by politicians and talk show celebrities.,1,5.0,0.0,"More people have been vaccinated, scientists have been able to evaluate just how long infection can develop in people . New information is constantly emerging and scientists are able to understand the virus much better now than when it first began.",1,10.0,0.0
23,1721108479,__NA__,0.0,0.0,0.0,It’s accurate and devoid of the false claims that are out there,9,1.0,0.0,Public pressure.,8,0.0,0.0
4,1721137377,__NA__,0.0,0.0,0.0,"Public health scientists are working daily to keep up with tidal waves of information so they can present what seems the most relevant and helpful at the time. As they learn more, they correct or adjust guidance based on evidence (e.g., masking works). It's frustrating and confusing when things changes dramatically, but following the science is how we get out of this.",4,0.0,0.0,I think it should be a 7-day minimum (days 0-6) with two negative RATs on days 5 and 6 or later after the minimum.,98,0.0,0.0
17,1721137383,__NA__,0.0,0.0,0.0,Public health scientists know what they are talking about! They are the professionals.,2,0.0,0.0,they are afraid of the US economy. This change is dangerous.,5,0.0,0.0
39,1721137385,too many people get sick when they get the booster and I don't think is has that much protection against Covid.,6.0,15.0,0.0,way to much publicity from the feds and state politicians. They make statements and then change them as time goes on,13,98.0,0.0,employers were losing their employees and the economy was slowing down costing a lot of money being lost in the private sector such as taxes and materials becoming a shortage.,5,0.0,0.0
1,1721137395,__NA__,0.0,0.0,0.0,What they say confirms the data I see.,5,0.0,0.0,Evidence,1,0.0,0.0
6,1721149407,Tested positive for Covid on Christmas morning. Received monoclonal antibodies in January. Must wait 90 days for booster.,21.0,10.0,0.0,"They are the experts. That’s why they were hired, to protect the public. It certainly isn’t the money driven.",2,21.0,0.0,CDC is learning just like the rest of us. Their job is not to make life harder for us. They have the science to back up their decisions.,1,0.0,0.0
2,1721195185,__NA__,0.0,0.0,0.0,Basically every public health scientist in the world is focused on a single issue.,98,0.0,0.0,Scientific and economic reasons,1,5.0,0.0
35,1721207737,__NA__,0.0,0.0,0.0,I trust scientists. They know more that the general public.,3,2.0,0.0,so as not to have a large effect on the workforce especially health workers. Back to work quicker.,5,9.0,0.0
15,1721246505,__NA__,0.0,0.0,0.0,Well educated experienced medical professionals working for the common good,2,21.0,0.0,As time goes on they gather more data which modifies guidance,1,0.0,0.0
50,1721283137,__NA__,0.0,0.0,0.0,Generally they are a concensus of results of testing meaning they agree with each others findings.,98,0.0,0.0,It should at least cover the amount of time for exposure to the disease to show if it will make people sick.,98,0.0,0.0
